index,slang_word,correct_word
930,bln0300,
931,coolbeut,
932,pusatt,pusat
933,dikaitkan,
934,03,
935,prjlas,palas
936,coba2,coba
937,this,tais
938,kangaero,kangar
939,jhanammmmm,
940,sepil,sempil
941,jn,j
942,lambunge,lambung
943,hahahahha,
944,sertakan,sentakan
945,digebleh,
946,kemptanya,
947,bologna,bolon
948,share,sare
949,rengkanasi,
950,bedain,bedan
951,berpakaiannya,
952,rakusnya,
953,van,vak
954,sebetar,sebentar
955,kepinggir,kelingsir
956,phm,pbm
957,teer,taer
958,gass,gas
959,usahh,usah
960,ermm,eram
961,evean,eban
962,aplg,aal
963,kecono,kecong
964,kebalikk,kebalikan
965,there,taer
966,celebrate,
967,sekebon,sekebun
968,timu,tamu
969,balonkuuu,
970,plampiasan,pelampiasan
971,sajja,saja
972,ngerasain,
973,permasalahkan,permasalahan
974,laper,laher
975,05,
976,anuhnya,
977,grombolan,gerombolan
978,diduniamah,
979,hahaahah,
980,gipipi,gipsi
981,ikyyy,
982,seriuss,serius
983,dipagi,dipati
984,cuitttt,
985,digaji,diari
986,sambungnya,
987,skrnh,sareh
988,konbrut,konkret
989,blagu,bagu
990,koruotor,koruptor
991,kudanil,kuda nil
992,brobro,barobo
993,dizaman,dalaman
994,boxing,boling
995,kondong,kendong
996,ravishing,
997,ngerugiin,
998,kuhapus,kapus
999,batmannnnn,
1000,henntak,hentak
1001,robbal,rombak
1002,nspsu,napsu
1003,skarang,sarang
1004,pikirinn,pikiran
1005,bnrn,bnn
1006,tel4njang,telanjang
1007,aidzin,abidin
1008,strangers,
1009,mapann,mapan
1010,gamonnya,
1011,mongso,monggo
1012,efortnya,
1013,taglaut,tagut
1014,acehh,aceh
1015,lusi,lasi
1016,idioma,idiom
1017,unlk4d,
1018,madusa,madura
1019,puloe,pulo
1020,doodstream,
1021,minjem,manem
1022,loy,lo
1023,jadinyaa,
1024,cantiya,cantik
1025,kautu,kantu
1026,rapid,rapbd
1027,meee,mede
1028,kmu,kamu
1029,ho,h
1030,pikirannya,
1031,curioso,
1032,bahingan2,bajingan
1033,khianati,khianat
1034,pue,pe
1035,dipukul,dipupuk
1036,memknya,memboya
1037,capcut,cancut
1038,allahummaghfirlahu,
1039,sosmet,saset
1040,lntea,lantera
1041,ardea,area
1042,ajck,ajak
1043,miskinkan,memiskinkan
1044,pelan2,pelan
1045,gift,giat
1046,dipedulikan,
1047,soswit,sawit
1048,pendetanya,
1049,gemez,gamel
1050,sass,sais
1051,anie,agie
1052,dilancarin,
1053,sipaling,sepaling
1054,doanyaa,
1055,dibehel,diesel
1056,l3,l
1057,nazis,najis
1058,matter,master
1059,lacvr,lacur
1060,diinginkan,
1061,emg,eeg
1062,sewenana,sejenang
