Label_Validator,Emoji,Count,Emoji_Asli
0,emoji_brown_heart,2,emoji_brown_heart
0,emoji_flexed_biceps_medium,7,emoji_flexed_biceps_medium
0,emoji_white_flag,7,emoji_white_flag
0,emoji_black_large_square,2,emoji_black_large_square
0,emoji_crying_cat,5,emoji_crying_cat
0,emoji_hatching_chick,10,emoji_hatching_chick
0,emoji_watermelon,6,emoji_watermelon
0,emoji_camera,3,emoji_camera
0,emoji_girl_light_skin_tone,2,emoji_girl_light_skin_tone
0,emoji_person_light_skin_tone,1,emoji_person_light_skin_tone
0,emoji_up,4,emoji_up
0,emoji_fog,1,emoji_fog
0,emoji_person_shrugging_light_skin_tone,5,emoji_person_shrugging_light_skin_tone
0,emoji_racing_car,3,emoji_racing_car
0,emoji_test_tube,2,emoji_test_tube
0,emoji_drop_of_blood,1,emoji_drop_of_blood
0,emoji_pouting_cat,3,emoji_pouting_cat
0,emoji_cow_face,2,emoji_cow_face
0,emoji_crossed_fingers_light_skin_tone,2,emoji_crossed_fingers_light_skin_tone
0,emoji_copyright,1,emoji_copyright
0,emoji_bug,2,emoji_bug
0,emoji_lemon,1,emoji_lemon
0,emoji_green_square,1,emoji_green_square
0,emoji_paw_prints,4,emoji_paw_prints
0,emoji_person_gesturing_no_light_skin_tone,3,emoji_person_gesturing_no_light_skin_tone
0,emoji_chains,1,emoji_chains
0,emoji_waning_crescent_moon,1,emoji_waning_crescent_moon
0,emoji_movie_camera,1,emoji_movie_camera
0,emoji_person_raising_hand,1,emoji_person_raising_hand
0,emoji_ring,2,emoji_ring
0,emoji_monkey,18,emoji_monkey
0,emoji_party_popper,93,emoji_party_popper
0,emoji_thumbs_down,22,emoji_thumbs_down
0,emoji_angry_face_with_horns,11,emoji_angry_face_with_horns
0,emoji_right_arrow,16,emoji_right_arrow
0,emoji_thumbs_up_medium,12,emoji_thumbs_up_medium
0,emoji_dragon_face,1,emoji_dragon_face
0,emoji_chocolate_bar,2,emoji_chocolate_bar
0,emoji_candy,3,emoji_candy
0,emoji_umbrella_on_ground,1,emoji_umbrella_on_ground
0,emoji_sign_of_the_horns,5,emoji_sign_of_the_horns
0,emoji_sewing_needle,3,emoji_sewing_needle
0,emoji_police_car_light,2,emoji_police_car_light
0,emoji_busts_in_silhouette,2,emoji_busts_in_silhouette
